x_Pt,x_Cu,x_CuO,x_La,x_NiTiO3,HydrothermalHeat_C_,RXN_Temp__C_,H2Reduction_C_,TempCalcine,glycerol_mL,glucose_mL_,ball_milledCellulose_g_,Ethanol,photocat,cat_Loading,bandgap,crystalSize,liquidSolution,methanol,pH,IrradiationTime,BETSurfaceArea,light_W_,UVWavelength_nm_,VolumeOfReactor,Hydrogen_micromol_
2.1,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.12,13.5,200,50,5,480,74.8,120,397,0.2,12040
0.5,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,10.4,200,50,5,480,266,120,387,0.2,12500
2.5,0,0,0,0,0,25,0,550,0,0,0,20,1,1,2.34,10,1000,0,4,1200,150,15,530,6,13372
0.5,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,8.1,200,50,5,480,290,120,386,0.2,14700
1,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.07,44.5,200,50,5,480,18.54,120,404,0.2,14768
2.1,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.01,44.9,200,50,5,480,17.94,120,412,0.2,14768
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.2,8,200,50,5,480,280,120,387.5,0.2,17600
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,2.9,23.7,200,50,5,480,50.2,120,428,0.2,17700
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.17,8,200,50,5,480,278,120,392,0.2,18400
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.18,10.9,200,50,5,480,276.5,120,390,0.2,18800
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.2,10.6,200,50,5,480,250,120,387.5,0.2,19496
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,2.83,23.6,200,50,5,480,49.2,120,438,0.2,22384
